6.50,-8.54,3.42,119980.22
1.33,8.94,-8.15,29890.22
0.16,-7.93,1.63,3245.58
-8.99,0.62,-2.32,411824.66
5.19,7.90,7.56,176097.14
6.14,9.27,-0.54,99400.01
-8.07,-7.06,-7.16,335556.16
8.85,7.76,7.72,928812.74
-8.18,-3.31,9.02,7900.99
4.89,7.86,8.35,224069.48
-6.79,9.79,-7.40,133336.81
8.32,2.57,0.78,331635.07
0.67,8.45,9.04,191734.73
-4.61,-9.72,3.00,10.56
4.64,3.78,5.36,38108.30
3.41,-6.09,-7.65,16852.37
-7.28,-1.51,4.13,84086.68
5.42,-8.04,5.16,85598.45
-7.48,8.85,-6.45,171750.47
-9.97,0.29,9.11,243775.97
6.78,-7.48,-6.45,53853.87
9.36,-4.33,0.63,668308.43
-2.63,-0.55,5.47,5227.28
-5.48,-9.20,6.23,2229.73
9.73,4.21,-4.24,785077.42
-7.47,-0.98,-7.58,307800.78
2.89,6.68,7.87,104931.00
-3.92,-5.88,1.44,327.74
-4.73,7.11,2.12,1480.28
-5.10,-3.92,9.70,133565.21
3.02,-6.38,6.01,29621.02
-5.95,-0.05,-3.10,33882.28
6.47,8.30,-0.92,106827.61
8.02,0.86,4.48,309911.39
-9.38,1.83,-8.11,939794.08
7.44,9.28,2.98,255093.66
2.60,3.81,7.76,72084.58
5.11,-3.45,6.34,77820.10
3.25,-5.31,0.76,3756.25
6.39,-7.28,3.77,108584.48
-9.92,-8.45,-3.08,665603.84
1.84,-1.01,-8.03,50023.13
-6.80,-1.73,-4.26,90256.19
-3.56,-9.58,-6.41,7651.43
-6.93,2.50,5.03,47064.24
-0.08,-5.76,-3.87,2.99
-4.92,9.98,6.56,17947.12
-9.00,8.17,-3.67,355990.32
-8.50,-1.25,8.10,74183.11
3.71,3.61,6.94,55966.20
3.06,7.93,-0.80,7209.03
0.20,-0.95,-2.53,17.67
7.10,0.74,-9.47,1095.84
-3.18,-8.91,-7.51,26182.63
7.54,-4.74,-5.84,123227.94
0.76,7.15,2.25,2078.82
5.29,1.92,4.56,41746.69
8.89,-4.78,0.25,489285.23
4.69,-0.41,7.19,89127.74
7.44,-9.07,-3.32,194333.53
-7.74,2.34,2.90,142057.85
-7.38,9.57,-7.84,239166.37
-8.67,-9.24,8.38,45769.31
-5.12,0.05,-4.78,22730.23
1.82,2.79,9.58,212402.13
-2.89,-2.40,8.77,110707.86
6.09,7.88,-9.04,2480.95
8.97,-2.33,5.51,642663.43
8.16,2.63,1.04,308140.79
5.50,1.63,8.93,278571.79
-9.10,2.77,-0.94,441194.46
-4.10,-4.50,7.63,39070.34
4.21,-4.32,0.85,8527.13
-0.19,6.41,2.63,1847.97
-2.00,3.32,5.47,8498.49
3.33,5.35,-3.80,1663.08
-7.82,1.63,5.68,101665.16
-9.24,6.52,-3.43,464873.42
6.40,4.93,-6.05,32975.80
0.70,-0.12,-6.33,12940.64
8.89,5.86,3.89,551581.75
4.12,-5.98,-0.15,9559.24
4.17,-2.66,-6.90,3512.67
-5.16,9.60,7.75,45562.53
-5.59,8.02,3.05,4273.22
-0.18,4.48,-0.56,272.48
-5.69,3.13,7.64,7666.97
1.23,-6.76,1.87,1958.01
-8.80,-1.35,-9.39,953687.55
-6.20,-3.27,3.94,23876.01
7.27,-3.06,5.23,213652.22
8.57,-7.03,-5.89,331985.44
8.04,-5.33,-7.56,111134.34
1.56,3.86,-0.87,218.20
-5.71,6.89,4.08,6192.86
-6.66,1.12,5.01,34911.17
0.19,-0.96,-0.25,82.12
9.21,4.97,4.66,704622.02
8.31,-6.93,-1.74,354096.05
2.91,-3.95,-2.92,657.19
-3.38,-4.56,2.96,40.22
-1.61,-3.99,7.96,75678.13
-7.92,3.93,-4.99,230707.60
-5.27,-2.67,-6.86,64309.33
-0.78,7.89,1.21,2728.83
6.11,-4.72,0.44,58567.61
-1.66,7.57,-4.10,458.45
-5.53,-5.59,-5.46,35028.47
8.65,4.82,-6.55,272506.82
-6.48,-4.94,2.54,41635.51
5.95,0.23,8.69,297357.76
8.43,-6.36,7.93,753206.55
9.02,-2.79,-4.42,470865.35
-4.53,9.65,4.81,2929.62
2.67,2.39,-1.08,382.01
-0.67,9.00,-1.05,6054.30
-9.21,6.29,-1.21,422158.95
-6.54,-7.70,-9.92,411871.40
-1.81,-4.32,8.20,85185.02
-1.64,6.53,-4.32,0.06
9.06,-0.39,0.58,535718.65
0.63,3.57,-9.80,177415.38
3.49,8.68,-5.03,2285.76
-0.36,4.84,-6.78,13210.95
8.65,6.48,1.43,446370.11
-2.04,5.43,-3.64,3.87
4.15,9.72,4.28,35723.58
8.04,5.61,-3.83,272279.70
8.81,2.24,0.07,463486.91
1.49,3.85,8.29,101082.70
-7.68,9.72,0.24,95294.53
-3.39,3.29,7.06,24399.83
3.85,3.40,-8.00,27006.98
-0.57,4.87,9.41,199951.13
2.70,-0.90,-8.48,63469.79
6.29,-9.23,-4.61,73931.71
-8.53,-0.32,5.21,210801.25
-1.18,9.80,3.09,11597.46
-1.84,6.65,1.65,1392.63
4.48,-9.35,8.76,252681.95
6.11,-7.99,1.61,82482.12
3.52,-9.66,-5.14,2286.37
6.08,5.89,-3.53,58235.54
7.60,-3.26,2.57,204426.27
2.27,7.37,0.65,4463.21
4.85,-9.46,8.21,203879.61
2.96,0.11,0.31,857.12
3.39,9.43,9.37,304289.41
4.42,-7.15,-5.11,3878.27
3.83,4.63,-5.96,429.71
-9.76,1.09,-6.97,928570.99
4.58,-6.01,9.23,275741.88
8.48,4.98,-9.00,79483.85
8.82,-2.44,2.72,478019.22
3.66,-1.39,7.11,54858.72
-0.08,-6.03,8.31,103236.82
9.50,-6.67,-4.07,705698.55
2.24,-1.47,6.03,17269.40
5.94,1.55,-3.63,36173.31
5.36,-9.31,-5.06,24748.02
-7.13,-7.44,3.23,64870.82
2.82,-9.88,-2.22,8038.64
-9.97,-1.17,-9.48,1596754.20
-6.18,8.13,8.97,47103.91
-5.42,4.20,-3.51,20637.02
-2.57,5.80,6.74,32423.00
7.61,-0.16,1.37,189797.41
-8.00,-3.62,0.55,190332.77
7.23,5.59,-1.51,162667.64
7.56,3.54,-6.68,87437.02
-8.04,-0.81,4.78,150573.98
-8.21,8.33,-5.36,238535.52
1.37,-6.88,6.08,22005.30
2.63,2.14,9.86,266768.37
-6.83,4.43,0.17,64851.98
-9.54,1.32,-2.44,588645.18
6.12,-4.26,-5.80,27107.23
-1.95,-9.97,-5.91,1196.19
-6.40,4.08,7.11,704.03
-8.11,-0.24,3.59,193529.51
-6.90,-3.12,-0.92,73835.02
-5.68,-5.58,6.75,516.74
8.31,-6.57,0.13,352005.91
-9.12,-3.84,1.62,418689.67
-8.76,5.40,4.10,271980.48
9.17,6.85,0.47,631642.69
-0.55,9.60,-3.61,4802.18
4.03,-4.62,1.34,6843.21
4.05,-1.89,-9.91,137528.28
-0.80,1.00,-6.33,11307.86
-7.89,-7.24,5.66,83084.48
3.12,-2.12,-4.09,114.84
-3.83,7.49,-2.23,108.28
-1.07,6.67,1.79,2548.65
8.06,5.58,-6.35,179930.80
-3.95,4.61,-1.91,1384.67
2.67,-1.97,-4.67,369.76
-4.87,0.24,-1.77,10510.63
-1.89,9.81,-4.36,2248.77
1.05,-5.45,1.72,963.98
2.83,0.17,3.27,2621.59
3.06,2.24,3.70,4455.86
-6.29,-7.05,1.30,30246.16
5.01,-6.32,2.38,27893.34
-9.49,8.99,7.67,200965.77
-4.70,2.37,3.42,4213.41
7.27,1.93,5.37,212659.98
-6.45,-2.61,5.84,12257.82
-6.74,-2.73,-5.47,109686.36
6.28,-4.44,1.25,67658.14
5.16,-7.63,9.26,334489.02
8.86,-3.18,8.86,1087759.60
4.00,8.06,6.74,76800.46
-6.98,0.13,-2.74,84562.93
-8.17,-1.53,1.01,216211.54
9.24,2.02,-1.44,600247.17
-8.39,6.07,8.36,31060.71
-9.51,3.09,4.63,487930.15
4.89,8.02,-4.36,21787.63
-7.14,-8.30,-9.55,432608.64
3.14,6.93,6.44,48463.06
-8.10,0.32,6.34,103019.90
7.55,6.97,-2.27,211822.09
-8.02,4.48,-5.28,238012.16
4.35,-4.51,-4.75,3605.09
-0.73,-7.53,-3.34,711.80
4.33,-4.28,2.05,10910.78
-3.10,-2.69,-8.18,70942.56
-6.77,-9.01,1.21,42740.05
2.43,9.20,-4.03,3903.35
-9.70,3.72,-9.04,1270868.79
-4.41,6.73,8.62,88316.20
0.05,8.45,-1.17,3560.15
4.42,9.43,5.97,81892.30
-5.85,3.56,-0.15,24861.10
1.68,-3.37,-7.87,43764.85
-5.89,0.08,-4.91,52846.30
-9.36,-4.28,-0.42,500943.14
7.77,-4.31,-5.06,174691.74
9.37,-8.94,-4.44,662913.83
-0.76,6.13,-0.91,1208.75
2.94,-2.06,4.19,4900.07
8.61,-1.76,-1.88,385830.00
2.67,-7.00,3.12,6000.04
3.28,-0.65,3.33,5053.10
-1.89,4.15,-9.39,134755.60
-8.61,-1.81,7.91,87293.89
0.45,5.90,4.85,9544.83
-1.33,-7.87,9.62,244718.07
8.04,-3.27,-8.74,44171.91
-7.33,-3.69,2.66,101785.40
3.85,0.33,-6.46,3166.20
-5.42,8.74,0.58,4872.89
1.92,-0.73,3.22,1039.92
-6.15,-0.69,-7.15,131005.78
5.06,-8.62,-9.89,67931.33
7.14,3.59,-4.33,111040.50
-1.88,0.92,6.87,26469.74
3.11,2.54,-1.62,1218.96
1.44,1.66,9.22,160487.50
-9.92,5.33,-1.41,689273.89
1.88,1.31,3.33,802.06
-8.54,-3.14,-0.96,275368.23
-1.72,9.26,9.48,253232.38
-9.22,-3.86,-7.55,749475.11
3.68,7.81,-8.62,35674.30
4.66,8.26,1.40,27739.86
